rank,frequency_cpyear,amplitude,period_years
1,0.03125,0.276833,32
2,0.0375,0.176474,26.6667
3,0.025,0.103992,40
4,0.00625,0.0218298,160
5,0.0625,0.0173974,16
6,0.04375,0.0168693,22.8571
7,0.0125,0.0161176,80
8,0.05625,0.0151262,17.7778
9,0.01875,0.0140434,53.3333
10,0.33125,0.0118939,3.01887
11,0.075,0.0109433,13.3333
12,0.31875,0.0104805,3.13725
13,0.3375,0.00905516,2.96296
14,0.0875,0.00792716,11.4286
15,0.38125,0.00758517,2.62295
