rank,frequency_cpyear,amplitude,period_years
1,0.0310559,0.000735514,32.2
2,0.0372671,0.000494317,26.8333
3,0.0248447,0.000257491,40.25
4,0.0434783,5.25459e-05,23
5,0.00621118,4.87469e-05,161
6,0.0124224,4.72666e-05,80.5
7,0.0186335,3.78411e-05,53.6667
8,0.0745342,3.25489e-05,13.4167
9,0.068323,3.17874e-05,14.6364
10,0.335404,2.94994e-05,2.98148
