rank,frequency_cpyear,amplitude,period_years
1,0.00621118,0.00377659,161
2,0.0124224,0.000978807,80.5
3,0.0310559,0.00061947,32.2
4,0.0372671,0.000517317,26.8333
5,0.124224,0.000265197,8.05
6,0.0248447,0.000216707,40.25
7,0.0186335,0.000214204,53.6667
8,0.0993789,0.000209398,10.0625
9,0.223602,0.000197407,4.47222
10,0.10559,0.000196837,9.47059
11,0.229814,0.000169627,4.35135
12,0.0434783,0.00016639,23
13,0.118012,0.00015698,8.47368
14,0.347826,0.000145136,2.875
15,0.242236,0.000141721,4.12821
