rank,frequency_cpyear,amplitude,period_years
1,0.03125,0.311641,32
2,0.0375,0.193279,26.6667
3,0.025,0.128473,40
4,0.00625,0.0411481,160
5,0.0625,0.0328862,16
6,0.04375,0.0256213,22.8571
7,0.01875,0.0193376,53.3333
8,0.05625,0.018402,17.7778
9,0.0125,0.0163458,80
10,0.075,0.0144585,13.3333
11,0.38125,0.0114715,2.62295
12,0.33125,0.0106689,3.01887
13,0.0875,0.0105856,11.4286
14,0.09375,0.00933297,10.6667
15,0.3375,0.00860339,2.96296
