rank,frequency_cpyear,amplitude,period_years
1,0.00625,0.0366092,160
2,0.425,0.0110475,2.35294
3,0.49375,0.010232,2.02532
4,0.4375,0.0101131,2.28571
5,0.475,0.00939649,2.10526
6,0.43125,0.00909057,2.31884
7,0.41875,0.0090374,2.38806
8,0.4875,0.00872579,2.05128
9,0.23125,0.00788955,4.32432
10,0.25625,0.00762513,3.90244
11,0.14375,0.00750891,6.95652
12,0.44375,0.00643299,2.25352
13,0.225,0.00631863,4.44444
14,0.1375,0.00625775,7.27273
15,0.2375,0.00617183,4.21053
