rank,frequency_cpyear,amplitude,period_years
1,0.00625,2.67237,160
2,0.0125,0.851793,80
3,0.01875,0.806866,53.3333
4,0.025,0.472353,40
5,0.05625,0.26611,17.7778
6,0.04375,0.176982,22.8571
7,0.03125,0.175243,32
8,0.0625,0.161674,16
9,0.05,0.145384,20
10,0.08125,0.132763,12.3077
