rank,frequency_cpyear,amplitude,period_years
1,0.00625,11.2699,160
2,0.0125,3.08689,80
3,0.0375,0.425509,26.6667
4,0.01875,0.402042,53.3333
5,0.03125,0.385294,32
6,0.025,0.367542,40
7,0.0625,0.240484,16
8,0.05,0.172599,20
9,0.06875,0.14154,14.5455
10,0.04375,0.141273,22.8571
11,0.075,0.128736,13.3333
12,0.125,0.114081,8
13,0.09375,0.105972,10.6667
14,0.11875,0.105089,8.42105
15,0.15,0.0951456,6.66667
