rank,frequency_cpyear,amplitude,period_years
1,0.00625,2.63815,160
2,0.0125,0.867999,80
3,0.01875,0.818804,53.3333
4,0.025,0.580729,40
5,0.03125,0.404271,32
6,0.05625,0.283026,17.7778
7,0.0625,0.193416,16
8,0.0375,0.163179,26.6667
9,0.04375,0.157914,22.8571
10,0.05,0.152098,20
11,0.08125,0.127529,12.3077
12,0.0875,0.113167,11.4286
13,0.1375,0.0989735,7.27273
14,0.10625,0.0987176,9.41176
15,0.1125,0.0899895,8.88889
