rank,frequency_cpyear,amplitude,period_years
1,0.0375,0.0358587,26.6667
2,0.05,0.0190214,20
3,0.01875,0.0187483,53.3333
4,0.0875,0.0173523,11.4286
5,0.05625,0.0166708,17.7778
6,0.0125,0.0166635,80
7,0.03125,0.016416,32
8,0.1,0.014899,10
9,0.00625,0.014345,160
10,0.09375,0.0134171,10.6667
