rank,frequency_cpyear,amplitude,period_years
1,0.00621118,41.7322,161
2,0.0124224,9.69078,80.5
3,0.0186335,2.40761,53.6667
4,0.0248447,0.961247,40.25
5,0.0310559,0.478761,32.2
6,0.0372671,0.273102,26.8333
7,0.0434783,0.170367,23
8,0.0496894,0.113119,20.125
9,0.0559006,0.0789461,17.8889
10,0.0621118,0.0572707,16.1
11,0.068323,0.042743,14.6364
12,0.0745342,0.0327195,13.4167
13,0.0807453,0.0255826,12.3846
14,0.0869565,0.0202847,11.5
15,0.0931677,0.0164955,10.7333
